word,gloss,pos,example,source
ārþegn,~þegn m. servant.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārwierþe,"~wierþe , -eorþ , -urþ , -yrþ venerable, distinguished.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārweorþfull,~weorþfull honourable.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārweorþian,"~weorþian , u , y honour, reverence, worship.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārweorþlic,"~weorþlic , u , y venerable.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārweorþlīce,"~weorþlīce , u , y av. honourably ; kindly.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārweorþnes,"~weorþnes , u , y f. honour, dignity.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārweorþung,"~weorþung , u f. honour.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārwesa,~wesa once respected.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ār,ār f. oar.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārblæd,~blæd n. blade of oar.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārgebland,~ ge bland † n. sea.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārloc,~loc n. rowlock.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārwela,~wela † m. sea.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārwiþþe,"~wiþþe f. oar-withe, rowlock.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārȳþ,~ȳþ † f. wave.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ār,"ār , ǣr n. brass, copper, grēne ~ orichalcum.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārfæt,~fæt n. brass vessel.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārgēotere,~gēotere m. brass-founder.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārglæd,"~glæd *, ǣr- † brass-bright.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārsāpe,~sāpe f. verdigris.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārgescōd,"~ ge scōd , ǣr- † brass-shod.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārsmiþ,~smiþ m. brass-smith.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārgesweorf,~ ge sweorf n. brass filings.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ār,ār = ǣr early.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arian,"arian ( ar|ian ) wa. honour, treat with respect ; endow | wd. care for (the poor), be kind ; be merciful, spare (life), pardon.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arigend,~igend m. benefactor.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
aring,"~ing , ~ung f. honour; pardon.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārǣcan,"ārǣcan ( ā·rǣcan ) get at, attain : hand, give.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārǣd,"ārǣd ( ā·rǣd ) † (?) wise (?) ; resolute, inexorable (?).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārædan,"ārædan ( ā·ræd|an ) I but gen. wk. decree, settle, arrange, appoint, prepare ; prophesy; solve (riddle) ; expound, explain ; utter ; read (to oneself or aloud).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārædnes,"~nes , ared- f. agreement, condition.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āræfnan,"āræfnan ( ā·ræfn|an ), -ian carry out, accomplish ; endure (patiently) ; suffer; ponder, consider.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āræfnendlic,"~endlic , ~iendlic endurable.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āræfsan,"āræfsan ( ā·ræfsan ), aræpsan , e intercept.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārǣman,"ārǣman ( ā·rǣman ) elevate — rfl. elevate, improve oneself || rise.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārǣran,"ārǣran ( ā·rǣr|an ) lift up, raise ; raise (to life) : set up (cross), build ; establish, create, disseminate ; up~ bring up, educate.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārǣrnes,"~nes f. raising, exaltation (in power).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārǣsan,ārǣsan ( ā·rǣsan ) rush.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārāfian,"ārāfian ( ā·rāfian ) unravel, unwind (ball of thread).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārāsian,"ārāsian ( ā·rās|ian ), -acsian explore ; detect, take in the act of; reprove, correct (faults). ptc. ~od trained, skilled.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arblast,arblast vL. m. crossbow [ Old Fr. arbaleste ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arc,arc = earc .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ardlic,ardlic = ārodlic .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārēafian,ārēafian ( ā·rēafian ) † separate (?).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āręccan,"āręccan ( ā·ręccan ) stretch out, raise up — āreahtum eagum with astonished eyes | explain, expound ; translate ; relate, tell, speak.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārēcelēasian,ārēcelēasian ( ā·rēcelēasian ) be negligent.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āredian,"āredian ( ā·redian ) prepare, provide ; carry out, perform ; contrive, manage | find (right time for) ; find, find the way : ūt ~ find the way out, oferdruncen mann ne mæg tō his hūse ~ , þone weg ~ , þā ceastre ~ reach | find out, understand.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arednes,arednes = ārǣdnes .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārēodian,"ārēodian ( ā·rēodian ) intr. redden, blush.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārētan,ārētan ( ā·rētan ) cheer.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
Arianisc,Arianisc Arian [ Lt. ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārīdan,ārīdan ( ā·rīdan ) 6 ride (out).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārīepan,"ārīepan ( ā·rīepan )*, y strip off.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ariht,ariht = on riht rightly.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārīman,"ārīman ( ā·rīman ) count ; enumerate, relate.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārīsan,"ārīsan ( ā·rīsan ) 6 stand up, get up (from bed), rise ; be forthcoming ( of money) ; arise, happen ( of temptation) ; originate.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
armelu,armelu wild rue [ Lt. harmala ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arn,arn prt. of iernan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arod,arod ( m. ) arum.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārod,ārod energetic | brisk ; quick.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārodlic,~lic quick.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārodlīce,"~līce , ārd- av. vigorously ; quickly.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārodnes,~nes f. boldness.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ārodscipe,"~scipe m. boldness, energy.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
aron,"aron are, see wesan .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arunnen,arunnen = āurnen ptc. of āiernan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
arwe,"arwe , arewe f. arrow.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āryddan,"āryddan ( ā·ryddan ), -dran , -tran strip, plunder.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsǣlan,āsǣlan ( ā·sǣlan ) bind.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsānian,"āsānian ( ā·sānian ) become languid, weak ( of love) [ sǣne ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsawan,āsawan ( ā·sawan ) I sow.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscian,"āscian ( āsc|ian ), ācs- , āx- , āhs- try for, demand ; question, ask waa. w. æfter , w. hwȳ &c., w. sbj. ; call to account wag. ; experience (calamity).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsciendlic,~iendlic interrogative (in grammar).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscung,~ung f. interrogation.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
geāscian,"ge āscian ( ge āsc|ian ) learn by inquiry, be told, hear of w. a. and æt , w. indc. , ~ode þis þus gedōn | discover.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
geāscung,~ung f. inquiry.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscacan,"āscacan ( ā·scacan ) 2 shake off w. a. and of ; shake, brandish || intr. flee, desert.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscafan,āscafan ( ā·scafan ) 2 shave.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscalian,āscalian ( ā·scalian ) peel off (bark).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscamian,āscamian ( ā·scam|ian ) be ashamed.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscamelic,~elic shameful.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
asce,"asce , axe , æ- f. pl. -an ash, ashes.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ascegeswāp,~ ge swāp n. cinders.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscēadan,"āscēadan ( ā·scēadan ), -scādan I b w. a. and g. or fram or of , separate, exclude ; distinguish ; purify.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęltan,"āsęltan ( ā·sęltan ) once separate, dissolve (?).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscēotan,"āscēotan ( ā·scēotan ) 7 shoot (arrow) ; lance (swelling) || intr. dart out, fall.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscięlian,"āscięlian ( ā·scięlian )*, i shell, peel [ scalu ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscięppan,"āscięppan ( ā·scięppan ) 2 appoint, give, esp. ~ him naman .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscięrian,"āscięrian ( ā·scięr|ian )*, i , y w. a. and g. or fram separate ; deprive, purify ; destine, appoint.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscięrigendlic,~igendlic disjunctive (in grammar).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscięrpan,āscięrpan ( ā·scięrpan ) sharpen (eyesight).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscīmian,āscīmian ( ā·scīmian ) shine.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscīnan,"āscīnan ( ā·scīnan ) 6 shine (forth); be evident, clear.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscīran,"āscīran ( ā·scīran )*, y make clear, transparent.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscortian,"āscortian ( ā·scortian ) run short, fail ; seem short or elapse ( of time).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscrēadian,"āscrēadian ( ā·scrēadian ) prune, lop.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscręncan,"āscręncan ( ā·scręncan ) trip up, make to fall.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscrepan,āscrepan ( ā·screpan ) 5 scrape.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscrincan,āscrincan ( ā·scrincan ) 3 shrink up.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscrūtnian,āscrūtnian ( ā·scrūtnian ) investigate.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscūfan,"āscūfan ( ā·scūfan ), -scēofan 7 push (away), expel.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ascunian,ascunian = on- .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscylfan,āscylfan ( ā·scylfan ) once destroy Gl.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āscyndan,"āscyndan ( ā·scyndan ) take away, deprive.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsēarian,āsēarian ( ā·sēarian ) dry up intr .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsēcan,"āsēcan ( ā·sēcan ) seek out, select ; penetrate, pervade ; ~ hine līfes aim at his life.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęcgan,"āsęcgan ( ā·sęcg|an ) say fully, express, tell, say.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęcgendlic,~endlic utterable.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsēdan,"āsēdan ( ā·sēdan )*, oe satiate [ sæd ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsegnian,"āsegnian ( ā·segnian )*, āsēngan † once show.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęllan,āsęllan ( ā·sęllan ) give up ; expel.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęncan,āsęncan ( ā·sęncan ) tr. sink.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęndan,"āsęndan ( ā·sęndan ) send forth, emit ; send.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsēon,āsēon ( ā·sēon ) once 5 see. L. for gesēon .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsēon,āsēon ( ā·sēon ) 7 strain (through sieve).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āseolcan,"āseolcan ( ā·seolcan ) 3 become languid, ptc. āsolcen slothful, remiss.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āseonod,"āseonod ( ā·seonod ) ‘unsinewed,’ relaxed Gl. [ seono ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āseoþan,"āseoþan ( ā·seoþan ) 7 boil; smelt (metals), purify by smelting — āsoden gold pure gold ; try (by affliction), chasten.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęttan,"āsęttan ( ā·sętt|an ) place, put — hī ~on hī ( rfl. ) ofer ( av. ) crossed (the Channel); build ; plant ; appoint ; ~ sīþ make a journey.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsęttnes,~nes (?) f. law = gesętnes .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsēþan,"āsēþan ( ā·sēþan ) affirm, confirm (statement) [ sōþ ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsīcan,āsīcan ( ā·sīcan ) sigh.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsiftan,āsiftan ( ā·siftan ) sift.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsīgan,"āsīgan ( ā·sīgan ) 6 sink down, fall down ; be neglected.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsincan,"āsincan ( ā·sincan ) 3 sink down, fall to pieces.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsingan,"āsingan ( ā·singan ) 3 sing, deliver (speech).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsittan,"āsittan ( ā·sittan ) 5 settle intr. ; run aground ( of ship) | expect, be apprehensive of w. sbj. || tr. ūt ~ starve out (garrison).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsīwan,"āsīwan ( ā·sīwan ), ēo sew.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslacian,"āslacian ( ā·slac|ian ) become slack, become weak ; decline, diminish.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslacigendlic,~igendlic remissive (adverb).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslæccan,āslæccan ( ā·slæccan ) once loosen Gl. [ slæc ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
aslæpan,aslæpan = onslæ̂pan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslǣwan,"āslǣwan ( ā·slǣwan ) blunt, make dull [ slāw ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslāwian,"āslāwian ( ā·slāwian ) become dull, slothful.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslēan,"āslēan ( ā·slēan ) 2 strike, cut — of ~ cut off (head) ; beat out (metal) ; geteld ~ put up tent.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslīdan,āslīdan ( ā·slīdan ) 6 slip ( of foot) ; fall.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslītan,āslītan ( ā·slītan ) 6 tear off ; tear to pieces ; destroy.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āslūpan,āslūpan ( ā·slūpan ) 7 slip away ; disappear ( of sorrow).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsmēan,"āsmēan , āsmēagan ( ā·smēa(ga)n ) scrutinize, investigate ; conceive, realize ; consider, reflect on ; treat of (in writing) settle (plan).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsmēagung,āsmēagung f. investigation.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsmiþian,"āsmiþian ( ā·smiþian ) forge, make (metal objects).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsmorian,"āsmorian ( ā·smorian ) suffocate, kill by suffocating, choke (growth of plants).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsmūgan,"āsmūgan ( ā·smūgan ) 7 investigate, consider.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āsnǣsan,"āsnǣsan ( ā·snǣsan ), ā transfix, spit, rfl. stake oneself.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
